id;title;description;due_date;done
1;out-of-the-box Grocery SMTP;bus;2022-09-06;false
2;Group Afghanistan;SDD Seychelles;2022-09-06;true
3;Borders Norwegian;killer;2022-09-06;false
4;modular;synergies array frame;2022-09-05;false
5;Lane Chair Music;maroon;2022-09-05;true
6;Plastic collaboration;CSS;2022-09-06;true
7;Soft Afghani;Zloty deposit;2022-09-05;false
8;SAS;ROI deposit Chair;2022-09-05;false
9;Multi-layered;Berkshire payment expedite;2022-09-06;false
10;matrix harness;Account;2022-09-05;true
